drug_name,disease_name,protein_name
tranexamic acid,menorrhagia,plasminogen
trimethadione,epilepsy,calcium voltage-gated channel subunit alpha1 g
trimethadione,epilepsy,calcium voltage-gated channel subunit alpha1 h
trimethadione,epilepsy,calcium voltage-gated channel subunit alpha1 i
(-)-adrenaline,open-angle glaucoma,adrenoceptor alpha 2a
(-)-adrenaline,anaphylaxis,adrenoceptor alpha 1a
(-)-adrenaline,anaphylaxis,adrenoceptor alpha 1b
(-)-adrenaline,anaphylaxis,adrenoceptor alpha 1d
(-)-adrenaline,anaphylaxis,adrenoceptor beta 2
(-)-adrenaline,hypotensive disorder,adrenoceptor beta 1
crisaborole,"dermatitis, atopic",phosphodiesterase 4a
crisaborole,"dermatitis, atopic",phosphodiesterase 4b
crisaborole,"dermatitis, atopic",phosphodiesterase 4c
crisaborole,"dermatitis, atopic",phosphodiesterase 4d
ibrutinib,waldenstrom macroglobulinemia,bruton tyrosine kinase
ibrutinib,mantle cell lymphoma,bruton tyrosine kinase
selegiline,parkinson disease,monoamine oxidase b
selegiline,parkinson disease,monoamine oxidase a
selegiline,major depressive disorder,monoamine oxidase b
selegiline,major depressive disorder,monoamine oxidase a
sitagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
beraprost,pulmonary arterial hypertension,prostaglandin i2 receptor
valbenazine,tardive dyskinesia,solute carrier family 18 member a2
radotinib,"chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
bepridil,angina pectoris,"troponin c1, slow skeletal and cardiac type"
ethinylestradiol,premenstrual dysphoric disorder,estrogen receptor 1
ethinylestradiol,hot flashes,estrogen receptor 1
ethinylestradiol,acne,estrogen receptor 1
ethinylestradiol,postmenopausal atrophic vaginitis,estrogen receptor 1
ethinylestradiol,postmenopausal osteoporosis,estrogen receptor 1
sildenafil,pulmonary arterial hypertension,phosphodiesterase 5a
miglitol,type 2 diabetes mellitus,maltase-glucoamylase
miglitol,type 2 diabetes mellitus,alpha glucosidase
miglitol,type 2 diabetes mellitus,glucosidase ii alpha subunit
miglitol,type 2 diabetes mellitus,"glucosidase alpha, neutral c"
isoprenaline,cardiac arrest,adrenoceptor beta 1
isoprenaline,cardiac arrest,adrenoceptor beta 2
isoprenaline,cardiac arrest,adrenoceptor beta 3
isoprenaline,atrioventricular block,adrenoceptor beta 1
isoprenaline,atrioventricular block,adrenoceptor beta 2
isoprenaline,atrioventricular block,adrenoceptor beta 3
isoprenaline,decreased cardiac output,adrenoceptor beta 1
isoprenaline,decreased cardiac output,adrenoceptor beta 2
isoprenaline,decreased cardiac output,adrenoceptor beta 3
isoprenaline,common cold,adrenoceptor beta 1
isoprenaline,common cold,adrenoceptor beta 2
isoprenaline,common cold,adrenoceptor beta 3
isoprenaline,shock,adrenoceptor beta 1
isoprenaline,shock,adrenoceptor beta 2
isoprenaline,shock,adrenoceptor beta 3
talinolol,hypertensive disorder,adrenoceptor beta 1
cyproheptadine,atopic conjunctivitis,histamine receptor h1
cyproheptadine,pruritus,histamine receptor h1
cyproheptadine,urticaria,histamine receptor h1
cyproheptadine,sneeze,histamine receptor h1
cyproheptadine,allergic rhinitis,histamine receptor h1
pindolol,hypertensive disorder,adrenoceptor beta 1
pindolol,hypertensive disorder,adrenoceptor beta 2
bortezomib,mantle cell lymphoma,proteasome 20s subunit beta 5
bortezomib,mantle cell lymphoma,proteasome 20s subunit beta 1
bortezomib,plasma cell myeloma,proteasome 20s subunit beta 5
bortezomib,plasma cell myeloma,proteasome 20s subunit beta 1
sufinpyrazone,hyperuricemia,solute carrier family 22 member 12
magnesium salicylate,back pain,prostaglandin-endoperoxide synthase 1
magnesium salicylate,back pain,prostaglandin-endoperoxide synthase 2
magnesium salicylate,bursitis,prostaglandin-endoperoxide synthase 1
magnesium salicylate,bursitis,prostaglandin-endoperoxide synthase 2
magnesium salicylate,arthralgia,prostaglandin-endoperoxide synthase 1
magnesium salicylate,arthralgia,prostaglandin-endoperoxide synthase 2
magnesium salicylate,synovitis,prostaglandin-endoperoxide synthase 1
magnesium salicylate,synovitis,prostaglandin-endoperoxide synthase 2
magnesium salicylate,dysmenorrhea,prostaglandin-endoperoxide synthase 1
magnesium salicylate,dysmenorrhea,prostaglandin-endoperoxide synthase 2
magnesium salicylate,osteoarthritis,prostaglandin-endoperoxide synthase 1
magnesium salicylate,osteoarthritis,prostaglandin-endoperoxide synthase 2
magnesium salicylate,pain,prostaglandin-endoperoxide synthase 1
magnesium salicylate,pain,prostaglandin-endoperoxide synthase 2
magnesium salicylate,fever,prostaglandin-endoperoxide synthase 1
magnesium salicylate,fever,prostaglandin-endoperoxide synthase 2
magnesium salicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
magnesium salicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
magnesium salicylate,headache disorder,prostaglandin-endoperoxide synthase 1
magnesium salicylate,headache disorder,prostaglandin-endoperoxide synthase 2
baricitinib,rheumatoid arthritis,janus kinase 1
baricitinib,rheumatoid arthritis,janus kinase 2
baricitinib,rheumatoid arthritis,janus kinase 3
baricitinib,rheumatoid arthritis,tyrosine kinase 2
budesonide,crohn disease,nuclear receptor subfamily 3 group c member 1
budesonide,asthma,nuclear receptor subfamily 3 group c member 1
budesonide,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
citalopram,depressive disorder,solute carrier family 6 member 4
citalopram,major depressive disorder,solute carrier family 6 member 4
nisoldipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit alpha2delta 1
nisoldipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit beta 2
vilazodone,major depressive disorder,solute carrier family 6 member 4
vilazodone,major depressive disorder,5-hydroxytryptamine receptor 1a
etelcalcetide,secondary hyperparathyroidism,calcium sensing receptor
cilostazol,intermittent vascular claudication,phosphodiesterase 3a
diclofenamide,open-angle glaucoma,carbonic anhydrase 1
diclofenamide,open-angle glaucoma,carbonic anhydrase 2
diclofenamide,open-angle glaucoma,carbonic anhydrase 4
diclofenamide,open-angle glaucoma,carbonic anhydrase 7
diclofenamide,open-angle glaucoma,carbonic anhydrase 12
ethacrynic acid,edema,solute carrier family 12 member 1
oprelvekin,thrombocytopenia,interleukin 11 receptor subunit alpha
tolazoline,vascular disorder,adrenoceptor alpha 1a
tolazoline,vascular disorder,adrenoceptor alpha 2a
tolazoline,vascular disorder,adrenoceptor alpha 2b
tolazoline,vascular disorder,adrenoceptor alpha 2c
tolazoline,vascular disorder,histamine receptor h1
tolazoline,vascular disorder,histamine receptor h2
tolazoline,cerebrovascular disorder,histamine receptor h1
tolazoline,cerebrovascular disorder,histamine receptor h2
tolazoline,cerebrovascular disorder,adrenoceptor alpha 1a
tolazoline,cerebrovascular disorder,adrenoceptor alpha 2a
tolazoline,cerebrovascular disorder,adrenoceptor alpha 2b
tolazoline,cerebrovascular disorder,adrenoceptor alpha 2c
tolazoline,persistent fetal circulation syndrome,histamine receptor h1
tolazoline,persistent fetal circulation syndrome,histamine receptor h2
tolazoline,persistent fetal circulation syndrome,adrenoceptor alpha 1a
tolazoline,persistent fetal circulation syndrome,adrenoceptor alpha 2a
diclofenamide,angle-closure glaucoma,carbonic anhydrase 1
diclofenamide,angle-closure glaucoma,carbonic anhydrase 2
diclofenamide,angle-closure glaucoma,carbonic anhydrase 4
diclofenamide,angle-closure glaucoma,carbonic anhydrase 7
diclofenamide,angle-closure glaucoma,carbonic anhydrase 12
venetoclax,b-cell chronic lymphocytic leukemia,bcl2 apoptosis regulator
ketoprofen,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
ketoprofen,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
ketoprofen,rheumatoid arthritis,c-x-c motif chemokine receptor 1
ketoprofen,pain,prostaglandin-endoperoxide synthase 1
ketoprofen,pain,prostaglandin-endoperoxide synthase 2
ketoprofen,dysmenorrhea,prostaglandin-endoperoxide synthase 1
ketoprofen,dysmenorrhea,prostaglandin-endoperoxide synthase 2
clotrimazole,acne,toll like receptor 2
lusutrombopag,thrombocytopenia,"mpl proto-oncogene, thrombopoietin receptor"
levocabastine,atopic conjunctivitis,neurotensin receptor 2
ethosuximide,absence epilepsy,calcium voltage-gated channel subunit alpha1 g
empagliflozin,type 2 diabetes mellitus,solute carrier family 5 member 2
cimetidine,duodenal ulcer,histamine receptor h2
cimetidine,gastric ulcer,histamine receptor h2
cimetidine,zollinger-ellison syndrome,histamine receptor h2
cimetidine,multiple endocrine neoplasia,histamine receptor h2
cimetidine,dyspepsia,histamine receptor h2
cimetidine,gastroesophageal reflux disease,histamine receptor h2
cimetidine,systemic mastocytosis,histamine receptor h2
naloxone,opiate dependence,opioid receptor mu 1
naloxone,opiate dependence,opioid receptor delta 1
naloxone,opiate dependence,opioid receptor kappa 1
naloxone,pain,opioid receptor mu 1
naloxone,pain,opioid receptor delta 1
naloxone,pain,opioid receptor kappa 1
benzatropine,postencephalitic parkinson disease,solute carrier family 6 member 3
benzatropine,postencephalitic parkinson disease,cholinergic receptor muscarinic 1
benzatropine,parkinsonian disorder,solute carrier family 6 member 3
benzatropine,parkinsonian disorder,cholinergic receptor muscarinic 1
benzatropine,basal ganglia disorder,solute carrier family 6 member 3
benzatropine,basal ganglia disorder,cholinergic receptor muscarinic 1
benzatropine,parkinson disease,solute carrier family 6 member 3
benzatropine,parkinson disease,cholinergic receptor muscarinic 1
imipramine,depressive disorder,solute carrier family 6 member 2
imipramine,depressive disorder,solute carrier family 6 member 4
nifedipine,hypertensive disorder,calcium voltage-gated channel subunit alpha1 c
nifedipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
nifedipine,angina pectoris,calcium voltage-gated channel subunit alpha1 c
dantrolene,spasticity,ryanodine receptor 1
dantrolene,"malignant hyperthermia, susceptibility to, 1",ryanodine receptor 1
alimemazine,urticaria,histamine receptor h1
alimemazine,sneeze,histamine receptor h1
alimemazine,angioedema,histamine receptor h1
alimemazine,atopic conjunctivitis,histamine receptor h1
alimemazine,pruritus,histamine receptor h1
alimemazine,allergic rhinitis,histamine receptor h1
dapoxetine,premature ejaculation,solute carrier family 6 member 4
histrelin,precocious puberty,gonadotropin releasing hormone receptor
befunolol,open-angle glaucoma,adrenoceptor beta 1
befunolol,open-angle glaucoma,adrenoceptor beta 2
befunolol,ocular hypertension,adrenoceptor beta 1
befunolol,ocular hypertension,adrenoceptor beta 2
indapamide,edema,solute carrier family 12 member 3
indapamide,hypertensive disorder,solute carrier family 12 member 3
meclofenamic acid,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
meclofenamic acid,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
meclofenamic acid,menorrhagia,prostaglandin-endoperoxide synthase 1
meclofenamic acid,menorrhagia,prostaglandin-endoperoxide synthase 2
meclofenamic acid,dysmenorrhea,prostaglandin-endoperoxide synthase 1
meclofenamic acid,dysmenorrhea,prostaglandin-endoperoxide synthase 2
meclofenamic acid,pain,prostaglandin-endoperoxide synthase 1
meclofenamic acid,pain,prostaglandin-endoperoxide synthase 2
meclofenamic acid,osteoarthritis,prostaglandin-endoperoxide synthase 1
meclofenamic acid,osteoarthritis,prostaglandin-endoperoxide synthase 2
rizatriptan,migraine disorder,5-hydroxytryptamine receptor 1b
rizatriptan,migraine disorder,5-hydroxytryptamine receptor 1d
rizatriptan,migraine disorder,5-hydroxytryptamine receptor 1f
methyltestosterone,eunuchism,androgen receptor
methyltestosterone,delayed puberty,androgen receptor
perphenazine,schizophrenia,dopamine receptor d2
choline magnesium trisalicylate,fever,prostaglandin-endoperoxide synthase 1
choline magnesium trisalicylate,fever,prostaglandin-endoperoxide synthase 2
choline magnesium trisalicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
choline magnesium trisalicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
choline magnesium trisalicylate,osteoarthritis,prostaglandin-endoperoxide synthase 1
choline magnesium trisalicylate,osteoarthritis,prostaglandin-endoperoxide synthase 2
choline magnesium trisalicylate,pain,prostaglandin-endoperoxide synthase 1
choline magnesium trisalicylate,pain,prostaglandin-endoperoxide synthase 2
dexlansoprazole,peptic ulcer disease,atpase h+/k+ transporting subunit alpha
dexlansoprazole,peptic ulcer disease,atpase h+/k+ transporting subunit beta
dexlansoprazole,gastroesophageal reflux disease,atpase h+/k+ transporting subunit alpha
dexlansoprazole,gastroesophageal reflux disease,atpase h+/k+ transporting subunit beta
capsaicin,postherpetic neuralgia,transient receptor potential cation channel subfamily v member 1
capsaicin,neuralgia,transient receptor potential cation channel subfamily v member 1
capsaicin,back pain,transient receptor potential cation channel subfamily v member 1
(-)-adrenaline,bronchiectasis,adrenoceptor alpha 1a
(-)-adrenaline,bronchiectasis,adrenoceptor alpha 1b
(-)-adrenaline,bronchiectasis,adrenoceptor alpha 1d
(-)-adrenaline,bronchiectasis,adrenoceptor alpha 2a
(-)-adrenaline,bronchiectasis,adrenoceptor alpha 2b
(-)-adrenaline,bronchiectasis,adrenoceptor beta 1
(-)-adrenaline,bronchiectasis,adrenoceptor beta 2
(-)-adrenaline,bronchitis,adrenoceptor alpha 1a
(-)-adrenaline,bronchitis,adrenoceptor alpha 1b
(-)-adrenaline,bronchitis,adrenoceptor alpha 1d
(-)-adrenaline,bronchitis,adrenoceptor alpha 2a
(-)-adrenaline,bronchitis,adrenoceptor alpha 2b
(-)-adrenaline,bronchitis,adrenoceptor beta 1
(-)-adrenaline,bronchitis,adrenoceptor beta 2
(-)-adrenaline,pulmonary emphysema,adrenoceptor alpha 1a
(-)-adrenaline,pulmonary emphysema,adrenoceptor alpha 1b
(-)-adrenaline,pulmonary emphysema,adrenoceptor alpha 1d
(-)-adrenaline,pulmonary emphysema,adrenoceptor alpha 2a
(-)-adrenaline,pulmonary emphysema,adrenoceptor alpha 2b
(-)-adrenaline,pulmonary emphysema,adrenoceptor beta 1
(-)-adrenaline,pulmonary emphysema,adrenoceptor beta 2
(-)-adrenaline,respiratory sounds,adrenoceptor alpha 1a
(-)-adrenaline,respiratory sounds,adrenoceptor alpha 1b
(-)-adrenaline,respiratory sounds,adrenoceptor alpha 1d
(-)-adrenaline,respiratory sounds,adrenoceptor alpha 2a
(-)-adrenaline,respiratory sounds,adrenoceptor alpha 2b
(-)-adrenaline,respiratory sounds,adrenoceptor beta 1
(-)-adrenaline,respiratory sounds,adrenoceptor beta 2
(-)-adrenaline,dyspnea,adrenoceptor alpha 1a
(-)-adrenaline,dyspnea,adrenoceptor alpha 1b
(-)-adrenaline,dyspnea,adrenoceptor alpha 1d
(-)-adrenaline,dyspnea,adrenoceptor alpha 2a
(-)-adrenaline,dyspnea,adrenoceptor alpha 2b
(-)-adrenaline,dyspnea,adrenoceptor beta 1
(-)-adrenaline,dyspnea,adrenoceptor beta 2
ibrutinib,b-cell chronic lymphocytic leukemia,bruton tyrosine kinase
rufinamide,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 9
vindesine,melanoma,tubulin beta 1 class vi
vindesine,lung neoplasm,tubulin beta 1 class vi
vindesine,"chronic myelogenous leukemia, bcr-abl1 positive",tubulin beta 1 class vi
treprostinil,pulmonary arterial hypertension,prostaglandin i2 receptor
estramustine,prostate cancer,microtubule associated protein 2
estramustine,prostate cancer,microtubule associated protein 1a
testosterone propionate,cryptorchidism,androgen receptor
